Flow_Hash,Total Fwd Packets,Flow Duration,Flow IAT Mean,Packet Length Std,Label
55c7e5771421ff06d65521792e8a42607f2be9853beb3c53c4fbed299243060b,10,55689459,5062678.0,0.0,DDoS_Attack
b0460f0e7915e1ab568f65afdbd37d99427aa51265db4e81c3a29520a6e24a19,2,189,63.0,61.344925,Benign
cfee7beefbade3fe2fb20c3d4e1e55a1a2f2d7aa027e7beb2bb362ffadb908e9,1,50895,50895.0,0.0,Benign
131ad8f9e83e465bd4a76e93548722e6346e343896d78a2aad2277feb31844de,2,97617,32539.0,12.049896,Benign
c1faaa1184822bfa59c5b200e8cb7781a32726afe962f145ed600e7ef4b5e236,14,67270920,4484728.0,0.0,DDoS_Attack
f65cb8b5c36f90fcfd8f31ab9c7c27a1b6e1cd5c939447703f8f75c07e75e669,6,490,98.0,0.0,DDoS_Attack
f03d0c472745f810e93d93ba473adc95057f5828197a385f2abf5e2ba81dc389,2,61611,20537.0,52.03364,Benign
9869ca45c575da099e726193433578e67dd645b4f7702b2ccac1ab40a6a20bf2,2,178,59.333332,8.763561,Benign
78d31d3fbb0a1af6c76907697bb3c3b05fc81c2509ea92da638a0ffddceb3e32,4,722,240.66667,0.0,DDoS_Attack
591a688a84cad5654195f0037d17f22030b37140303703abcd291c7af63d1d8c,10,62937347,6993038.5,0.0,DDoS_Attack
0b788f20d4af162da5a97055da3b8da19a33481c32e449f3ef868e322a562fce,2,1,1.0,0.0,DDoS_Attack
4ceba0cac5ba5448b28f519847eb675e0a88cafec64734813f928294a6691716,8,10108125,722008.94,196.12122,Benign
19360e1cf2e3888e375445cfd8af3a343e0a137cc2ae6862b24a6eacc4927dda,2,175,58.333332,33.411076,Benign
e100b49b3021851d53a8acc7d75e394ff0e0081f5158136425529d05abfb7dc2,1,30512,30512.0,16.165808,Benign
9fd18e0556565e784c69f80aea9591ce5e458e0a49947b3010d7e678626a1690,2,205,68.333336,17.527122,Benign
fa8ecd60ffc1a394eae5937f3c6ef44aebdc3ac350f589c0d718a08ae01dc9ba,14,75657778,5043852.0,0.0,DDoS_Attack
092e9c4131505b7f74beeec3dc250d4a9a06ef85cbdc8d681e79b192e7093477,4,104467,34822.332,21.36118,DDoS_Attack
4c2e981bdb54f7dcfaf45de30acafbd544cf9929bca92f92cd73a1525921216f,24,203230,8836.087,31.32209,DDoS_Attack
00a4260bcb55cc8eba66758220812a8e85c3220127851fe74348a090037b2495,2,221,73.666664,27.386127,Benign
7798642eff416d7a7f53d0d869887353dc65e30f372222459af8acf4e3ea54fa,12,66799964,3180950.8,0.0,DDoS_Attack
52b8048fc9e4a735eff91db46230af3aafe0748dd49093661ed49838f347ce5c,2,1,1.0,0.0,DDoS_Attack
c77d9a045a65bbe796c741d6923f076c0d7b0792523fab616c42598f5006cf07,6,214826,42965.2,33.617596,DDoS_Attack
